1.615; 0.497; 0.11
1.496; 0.523; 0.07
1.532; 0.53; 0.071
1.717; 1.133; 0.089
1.6; 0.592; 0.064
1.973; 0.509; 0.067
1.645; 0.611; 0.093
1.538; 0.621; 0.072
1.614; 0.547; 0.093
1.683; 0.592; 0.073
1.608; 0.582; 0.064
1.549; 0.564; 0.081
1.485; 1.197; 0.072
1.485; 0.581; 0.067
1.851; 0.516; 0.077
2.275; 0.495; 0.097
1.675; 0.776; 0.08
1.676; 0.498; 0.073
1.538; 0.474; 0.08
1.896; 0.726; 0.084
1.77; 0.495; 0.084
8.241; 2.595; 0.458
8.227; 2.556; 0.323
8.411; 3.331; 0.488
8.671; 2.558; 0.321
2.348; 0.688; 0.06
1.397; 0.555; 0.075
1.53; 0.565; 0.062
1.415; 0.507; 0.067
2.932; 0.681; 0.07
1.531; 0.909; 0.093
1.404; 0.483; 0.068
1.599; 0.524; 0.067
1.661; 0.537; 0.07
1.373; 0.604; 0.066
1.405; 0.464; 0.072
1.6; 0.507; 0.059
1.616; 0.498; 0.088
3.004; 0.539; 0.076
3.24; 0.704; 0.061
1.559; 0.58; 0.065
1.582; 0.638; 0.066
1.614; 0.477; 0.09
1.418; 0.537; 0.067
1.594; 0.524; 0.069
3.517; 0.479; 0.067
2.037; 0.592; 0.064
1.731; 0.684; 0.07
1.593; 0.925; 0.07
1.399; 0.554; 0.069
1.531; 0.484; 0.077
1.492; 0.55; 0.074
1.425; 0.509; 0.073
1.799; 0.495; 0.103
1.798; 0.767; 0.08
1.505; 0.525; 0.073
1.497; 0.545; 0.07
2.179; 0.491; 0.071
1.57; 0.488; 0.068
1.482; 0.491; 0.064
1.949; 0.517; 0.092
2.075; 0.551; 0.072
1.501; 0.475; 0.069
1.371; 0.484; 0.066
1.55; 0.487; 0.07
1.429; 0.619; 0.07
1.366; 0.549; 0.07
1.624; 0.883; 0.096
2.026; 0.897; 0.071
1.399; 0.688; 0.061
1.64; 0.495; 0.071
1.613; 0.656; 0.065
1.474; 0.522; 0.07
1.735; 0.538; 0.075
1.627; 0.552; 0.073
1.894; 0.473; 0.079
1.44; 0.678; 0.087
1.782; 0.531; 0.093
1.785; 0.503; 0.074
2.258; 0.589; 0.066
1.52; 0.604; 0.068
1.714; 0.626; 0.068
1.653; 0.53; 0.099
1.397; 0.539; 0.066
2.257; 0.523; 0.059
1.724; 0.496; 0.066
1.53; 0.581; 0.07
1.839; 0.653; 0.076
1.566; 0.532; 0.064
1.502; 0.483; 0.075
1.609; 0.498; 0.064
1.804; 0.899; 0.07
1.494; 0.481; 0.07
1.71; 0.485; 0.065
2.285; 0.627; 0.064
2.089; 0.62; 0.103
1.516; 0.571; 0.074
2.056; 0.499; 0.077
1.834; 0.848; 0.071
2.696; 0.487; 0.074
